stage,date,time,venue,team1,team1_score,team2,team2_score,team1_pso_score,team2_pso_score,
Round of 16 1,29/06/2024,18:00,Munich,1A,,2C,,
Round of 16 2,29/06/2024,21:00,Berlin,2A,,2B,,
Round of 16 3,30/06/2024,18:00,Stuttgart,1B,,3A/D/E/F,,
Round of 16 4,30/06/2024,21:00,Leipzig,1C,,3D/E/F,,
Round of 16 5,01/07/2024,18:00,Dortmund,1E,,3A/B/C/D,,
Round of 16 6,01/07/2024,21:00,Cologne,1F,,2D,,
Round of 16 7,02/07/2024,18:00,Frankfurt,2C,,2F,,
Round of 16 8,02/07/2024,21:00,Hamburg,1D,,3B/E/F,,
Quarter-final 1,05/07/2024,18:00,Munich,Winner RO16 1,,Winner RO16 2,,
Quarter-final 2,05/07/2024,21:00,Berlin,Winner RO16 3,,Winner RO16 4,,
Quarter-final 3,06/07/2024,18:00,Dortmund,Winner RO16 5,,Winner RO16 6,,
Quarter-final 4,06/07/2024,21:00,Stuttgart,Winner RO16 7,,Winner RO16 8,,
Semi-final 1,09/07/2024,21:00,Munich,Winner QF1,,Winner QF2,,
Semi-final 2,10/07/2024,21:00,Berlin,Winner QF3,,Winner QF4,,
Final,14/07/2024,21:00,Berlin,Winner SF1,,Winner SF2,,
