country,weighted_score,no.games
South Korea,1.8601999999999999,1
Japan,1.7527166666666665,6
Argentina,1.5217399999999999,5
Egypt,1.49235,2
Bahrain,1.3189499999999998,2
Colombia,1.1959000000000002,3
France,1.095053488372093,43
England,1.0165954545454545,44
Portugal,0.9941047619047618,42
Netherlands,0.9937707317073173,41
Serbia,0.9782194444444445,36
Spain,0.9541558139534884,43
Belgium,0.944258537,41
Brazil,0.94342,5
Germany,0.9104097560975611,41
Italy,0.7341404761904762,42
Hungary,0.7292648648648647,37
Croatia,0.7156545454545453,44
Denmark,0.6249048780487805,41
Austria,0.6069157894736842,38
Ghana,0.6013,2
Ecuador,0.5581499999999999,2
Ukraine,0.538291892,37
Switzerland,0.5248285714285714,42
Turkey,0.5072289473684211,38
Oman,0.5,1
Mexico,0.48479999999999995,2
Scotland,0.4528567567567567,37
Czech Republic,0.44945641025641025,39
Slovenia,0.43409714285714285,35
Norway,0.4229117647058824,17
Georgia,0.40150303030303025,33
Cameroon,0.4000000000000001,2
Poland,0.360625,40
Romania,0.3594088235294117,34
Slovakia,0.3518135135135135,37
Jamaica,0.2979,1
Wales,0.283436,25
Russia,0.2820888888888889,9
Malta,0.27548461538461544,13
Jordan,0.26675000000000004,2
Chile,0.244025,4
Montenegro,0.23627692307692308,13
Sweden,0.22282999999999992,20
Kazakhstan,0.21949999999999997,10
Tunisia,0.19566666666666668,3
Albania,0.1740235294117647,34
Finland,0.1594357142857143,14
Republic of Ireland,0.15526875,16
Morocco,0.13487142857142853,7
Greece,0.12773846153846152,13
Israel,0.11753333333333345,15
Bulgaria,0.11739999999999998,16
United States,0.10853333333333333,6
Qatar,0.099557143,7
Kosovo,0.08768,10
Bosnia and Herzegovina,0.087046154,13
Belarus,0.08632,10
Moldova,0.079473333,15
Venezuela,0.0779,1
Armenia,0.052693333333333335,15
Northern Ireland,0.026175000000000004,12
British Virgin Islands,0,0
Menorca,0,0
Libya,0,0
Chameria,0,0
Western Isles,0,0
Saint Helena,0,0
Northern Mariana Islands,0,0
Saint Vincent and the Grenadines,0,0
Cayman Islands,0,0
Rwanda,0,0
Solomon Islands,0,0
Kernow,0,0
Guam,0,0
United Arab Emirates,0,0
South Sudan,0,0
Sint Maarten,0,0
Kenya,0,0
Panama,0,0
Equatorial Guinea,0,0
Kyrgyzstan,0,0
DR Congo,0,0
Madagascar,0,0
Haiti,0,0
New Zealand,0,0
Biafra,0,0
Cuba,0,0
American Samoa,0,0
Brunei,0,0
Liechtenstein,0,9
Montserrat,0,0
Guatemala,0,0
Uganda,0,0
Papua New Guinea,0,0
Pakistan,0,0
Niger,0,0
Isle of Wight,0,0
Matabeleland,0,0
Angola,0,0
Togo,0,0
Iraq,0,0
Belize,0,0
Martinique,0,0
Shetland,0,0
São Tomé and Príncipe,0,0
Guernsey,0,0
Tamil Eelam,0,0
Malaysia,0,0
Ynys Môn,0,0
Turks and Caicos Islands,0,0
Samoa,0,0
Guinea,0,1
Malawi,0,0
Palestine,0,0
Tuvalu,0,0
Eswatini,0,0
Mali,0,0
Cook Islands,0,0
Congo,0,0
India,0,0
Nicaragua,0,0
Lebanon,0,0
New Caledonia,0,0
Saint Lucia,0,0
Ethiopia,0,0
Isle of Man,0,0
Botswana,0,0
Gambia,0,0
Bermuda,0,0
Gozo,0,0
Indonesia,0,0
Taiwan,0,0
Afghanistan,0,0
Bolivia,0,0
Vietnam,0,0
Yemen,0,0
Nepal,0,0
Anguilla,0,0
Cambodia,0,0
Burundi,0,0
Antigua and Barbuda,0,0
Laos,0,0
Zambia,0,0
Myanmar,0,0
Syria,0,0
Hong Kong,0,0
Raetia,0,0
El Salvador,0,0
Sápmi,0,0
Gabon,0,0
Aymara,0,0
Sudan,0,0
Frøya,0,0
United States Virgin Islands,0,0
Honduras,0,0
Mauritius,0,0
Elba Island,0,0
Greenland,0,0
Paraguay,0,0
Mauritania,0,0
Tanzania,0,0
Philippines,0,0
Djibouti,0,0
Curaçao,0,0
French Guiana,0,0
Jersey,0,0
North Korea,0,0
Saudi Arabia,0,3
Tajikistan,0,0
Saint Kitts and Nevis,0,0
Bahamas,0,0
Yoruba Nation,0,0
Benin,0,0
Guyana,0,0
Tahiti,0,0
Guinea-Bissau,0,0
West Papua,0,0
Turkmenistan,0,0
Bhutan,0,0
Mapuche,0,0
Puerto Rico,0,0
Somalia,0,0
Singapore,0,0
Comoros,0,0
Algeria,0,0
Aruba,0,0
Guadeloupe,0,0
Alderney,0,0
East Timor,0,0
Tonga,0,0
Réunion,0,0
Timor-Leste,0,0
Sierra Leone,0,0
Maule Sur,0,0
Cape Verde,0,0
Åland,0,0
Central African Republic,0,0
Namibia,0,0
Bangladesh,0,0
Tibet,0,0
Two Sicilies,0,0
Dominica,0,0
Dominican Republic,0,0
Grenada,0,0
Sri Lanka,0,0
Barbados,0,0
Macau,0,0
Mozambique,0,0
Falkland Islands,0,0
Trinidad and Tobago,0,0
Fiji,0,0
Suriname,0,0
China PR,0,0
Vanuatu,0,0
Saint Martin,0,0
Orkney,0,0
Zimbabwe,0,0
Chad,0,0
Hmong,0,0
Ticino,0,0
Seychelles,0,0
Bonaire,0,0
Mayotte,0,0
Maldives,0,0
Saint Barthélemy,0,0
Lesotho,0,0
,0,0
Liberia,0,0
Székely Land,0,0
Iceland,-0.001338462,13
Azerbaijan,-0.010309091,11
Faroe Islands,-0.01474375,16
Luxembourg,-0.033030769,13
Lithuania,-0.035963636,11
Andorra,-0.037438462,13
San Marino,-0.075861538,13
Estonia,-0.092981818,11
North Macedonia,-0.100133333,18
Cyprus,-0.112233333,15
Gibraltar,-0.1341,11
Senegal,-0.2981,2
Latvia,-0.33228,10
Mongolia,-0.5061,1
Uzbekistan,-0.6053,1
Australia,-0.633033333,3
Peru,-0.8292,1
Uruguay,-1,1
Costa Rica,-1.0668,2
Canada,-1.1683,2
Ivory Coast,-1.2065,2
Burkina Faso,-1.2144,1
Nigeria,-1.9512,1
South Africa,-2.245,1
Kuwait,-2.513,1
Iran,-3.2372,1
Thailand,-3.68,1
